nim,nama,angkatan,prodi,status,kota_asal,tanggal_masuk
2210048,Log Sari,2022,Sains Data,AKTIF,Bandung,2022-08-01
2210049,Neh Rahmawati,2022,Sains Data,do,Medan,2022-08-01
2210050,Tit Firdaus,2022,Sains Data,cuti,Makassar,2022-08-01
2210051,Eap Firdaus,2022,Sains Data,cuti,Kupang,2022-08-01
2210052,Tig Rahmawati,2022,Sains Data,AKTIF,Yogyakarta,2022-08-01
2210053,Aop Firdaus,2022,Sains Data,lulus,Yogyakarta,2022-08-01
2210054,Aen Rahmawati,2022,Sains Data,lulus,Surabaya,2022-08-01
2210055,Suk Saputra,2022,Sains Data,aktif,Jakarta,2022-08-01
2210056,Iah Pratama,2022,Sains Data,do,Semarang,2022-08-01
2210057,Now Hidayat,2022,Sains Data,do,Semarang,2022-08-01
2210058,Aot Hidayat,2022,Sains Data,AKTIF,Surabaya,2022-08-01
2210059,Hik Nugroho,2022,Sains Data,Cuti,Medan,2022-08-01
2210060,Kew Wijaya,2022,Sains Data,lulus,Semarang,2022-08-01
2210061,Low Nugroho,2022,Sains Data,aktif,Kupang,2022-08-01
2210062,Sil Hidayat,2022,Sains Data,lulus,Jakarta,2022-08-01
2210063,Een Maulana,2022,Sains Data,Lulus,Medan,2022-08-01
2210064,How Anggraini,2022,Sains Data,cuti,Kupang,2022-08-01
2210065,Ain Nugroho,2022,Sains Data,cuti,Semarang,2022-08-01
2210066,Lus Saputra,2022,Sains Data,do,Bandung,2022-08-01
2210067,Wob Sari,2022,Sains Data,Cuti,Yogyakarta,2022-08-01
2210068,Big Saputra,2022,Sains Data,Lulus,Makassar,2022-08-01
2210069,Jun Hidayat,2022,Sains Data,lulus,Kupang,2022-08-01
2210070,Lug Wijaya,2022,Sains Data,aktif,Yogyakarta,2022-08-01
2210071,Nuy Ramadhan,2022,Sains Data,Aktif,Yogyakarta,2022-08-01
2210072,Wel Saputra,2022,Sains Data,lulus,Kupang,2022-08-01
2210073,Juk Maulana,2022,Sains Data,lulus,Bandung,2022-08-01
2210074,Iut Nugroho,2022,Sains Data,Lulus,Makassar,2022-08-01
2210075,Kel Sari,2022,Sains Data,AKTIF,Jakarta,2022-08-01
2210076,Jol Lestari,2022,Sains Data,Lulus,Bandung,2022-08-01
2210077,Nes Rahmawati,2022,Sains Data,aktif,Jakarta,2022-08-01
2210078,Fod Putra,2022,Sains Data,AKTIF,Kupang,2022-08-01
2210079,Lom Nugroho,2022,Sains Data,cuti,Jakarta,2022-08-01
2210080,Kut Firdaus,2022,Sains Data,Aktif,Semarang,2022-08-01
2210081,Den Wulandari,2022,Sains Data,AKTIF,Kupang,2022-08-01
2210082,Bor Pratama,2022,Sains Data,cuti,Kupang,2022-08-01
2210083,Nel Rahmawati,2022,Sains Data,lulus,Semarang,2022-08-01
2210084,Gim Sari,2022,Sains Data,Cuti,Semarang,2022-08-01
2210085,Wol Anggraini,2022,Sains Data,aktif,Jakarta,2022-08-01
2210086,Biy Wulandari,2022,Sains Data,Aktif,Bandung,2022-08-01
2210087,Wib Putra,2022,Sains Data,do,Surabaya,2022-08-01
2210088,Gul Hidayat,2022,Sains Data,aktif,Makassar,2022-08-01
2210089,Jit Ramadhan,2022,Sains Data,aktif,Bandung,2022-08-01
2210090,Hag Wulandari,2022,Sains Data,cuti,Medan,2022-08-01
2210091,Eiw Pratama,2022,Sains Data,Lulus,Jakarta,2022-08-01
2210092,Pig Rahmawati,2022,Sains Data,Lulus,Surabaya,2022-08-01
2210093,Kis Wulandari,2022,Sains Data,Lulus,,2022-08-01
2210094,Baw Sari,2022,Sains Data,Lulus,Bandung,2022-08-01
2210095,Ses Sari,2022,Sains Data,Cuti,Jakarta,2022-08-01
2210096,Lap Lestari,2022,Sains Data,aktif,Surabaya,2022-08-01
2210097,Fes Putra,2022,Sains Data,cuti,Kupang,2022-08-01
2210098,Hes Hidayat,2022,Sains Data,aktif,Surabaya,2022-08-01
2210099,Muk Maulana,2022,Sains Data,lulus,Jakarta,2022-08-01
2210100,Sur Pratama,2022,Sains Data,do,Jakarta,2022-08-01
2210101,Cim Firdaus,2022,Sains Data,AKTIF,Bandung,2022-08-01
2210102,Hol Hidayat,2022,Sains Data,Lulus,Kupang,2022-08-01
2210103,Cap Lestari,2022,Sains Data,Cuti,Yogyakarta,2022-08-01
2210104,Rum Maulana,2022,Sains Data,AKTIF,Kupang,2022-08-01
2210105,Sir Saputra,2022,Sains Data,lulus,Bandung,2022-08-01
2210106,Kal Rahmawati,2022,Sains Data,lulus,Medan,2022-08-01
2210107,Pum Sari,2022,Sains Data,cuti,Bandung,2022-08-01
2210108,Tog Wulandari,2022,Sains Data,AKTIF,Medan,2022-08-01
2210109,Yow Ramadhan,2022,Sains Data,AKTIF,Semarang,2022-08-01
2210110,May Nugroho,,Sains Data,AKTIF,Makassar,2022-08-01
2210111,Iil Wijaya,2022,Sains Data,Lulus,Makassar,2022-08-01
2210112,Yir Putra,2022,Sains Data,do,Yogyakarta,2022-08-01
2210113,Kar Hidayat,2022,Sains Data,aktif,Yogyakarta,2022-08-01
2210114,Beg Sari,2022,Sains Data,cuti,Kupang,2022-08-01
2210115,Fan Pratama,2022,Sains Data,AKTIF,Surabaya,2022-08-01
2210116,Kom Lestari,2022,Sains Data,Lulus,Kupang,2022-08-01
2210117,Hem Kusuma,2022,Sains Data,cuti,Jakarta,2022-08-01
2210118,Niw Saputra,2022,Sains Data,AKTIF,Kupang,2022-08-01
2210119,Men Wijaya,2022,Sains Data,AKTIF,Bandung,2022-08-01
2210120,Lom Maulana,2022,Sains Data,Cuti,Surabaya,2022-08-01
2210121,Aip Kusuma,2022,Sains Data,lulus,Jakarta,2022-08-01
2210122,Aes Saputra,2022,Sains Data,lulus,Yogyakarta,2022-08-01
2210123,Iub Anggraini,2022,Sains Data,lulus,Bandung,2022-08-01
2210124,Dur Firdaus,,Sains Data,aktif,Makassar,2022-08-01
2210125,Ray Wulandari,2022,Sains Data,AKTIF,Surabaya,2022-08-01
2210126,Mad Saputra,2022,Sains Data,AKTIF,Kupang,2022-08-01
2210127,Pun Sari,2022,Sains Data,aktif,Kupang,2022-08-01
2210128,Bug Maulana,2022,Sains Data,AKTIF,Yogyakarta,2022-08-01
2210129,Kir Sari,2022,Sains Data,cuti,Kupang,2022-08-01
2210130,Gig Pratama,2022,Sains Data,cuti,Yogyakarta,2022-08-01
2210131,Mos Nugroho,2022,Sains Data,Lulus,Makassar,2022-08-01
2210132,Yik Putra,2022,Sains Data,Lulus,Jakarta,2022-08-01
2210133,Aug Ramadhan,2022,Sains Data,Aktif,Jakarta,2022-08-01
2210134,Mun Putra,2022,Sains Data,Cuti,Makassar,2022-08-01
2210135,Wuy Saputra,2022,Sains Data,Lulus,Surabaya,2022-08-01
2210136,Bip Pratama,2022,Sains Data,lulus,Jakarta,2022-08-01
2210137,Juk Pratama,2022,Sains Data,aktif,Makassar,2022-08-01
2210138,Pip Kusuma,2022,Sains Data,Cuti,Semarang,2022-08-01
2210139,Mop Firdaus,2022,Sains Data,cuti,Makassar,2022-08-01
2210140,Wab Nugroho,2022,Sains Data,Cuti,Jakarta,2022-08-01
2210141,Bek Saputra,2022,Sains Data,lulus,Makassar,2022-08-01
2210142,Iok Hidayat,2022,Sains Data,lulus,Medan,2022-08-01
2210143,Dep Kusuma,2022,Sains Data,Lulus,Semarang,2022-08-01
2210144,Duh Nugroho,2022,Sains Data,cuti,Yogyakarta,2022-08-01
2210145,Hul Saputra,2022,Sains Data,Lulus,Kupang,2022-08-01
2210146,Rip Hidayat,2022,Sains Data,Lulus,Makassar,2022-08-01
2210147,Sat Maulana,2022,Sains Data,aktif,Surabaya,2022-08-01
2210148,Nus Firdaus,2022,Sains Data,Lulus,Bandung,2022-08-01
2210149,Jes Hidayat,2022,Sains Data,cuti,Yogyakarta,2022-08-01
2210150,Duk Anggraini,2022,Sains Data,aktif,Yogyakarta,2022-08-01
2210151,Lun Wijaya,2022,Sains Data,Lulus,Bandung,2022-08-01
2210152,Eat Rahmawati,2022,Sains Data,do,Yogyakarta,2022-08-01
2210153,Giy Wulandari,2022,Sains Data,do,Jakarta,2022-08-01
2210154,Hus Anggraini,2022,Sains Data,AKTIF,Semarang,2022-08-01
2210155,Did Maulana,2022,Sains Data,do,Yogyakarta,2022-08-01
2210156,Wew Pratama,2022,Sains Data,do,Bandung,2022-08-01
2210157,Nis Putra,2022,Sains Data,lulus,Kupang,2022-08-01
2210158,Juy Hidayat,2022,Sains Data,Aktif,Medan,2022-08-01
2210159,Yuk Lestari,2022,Sains Data,lulus,Surabaya,2022-08-01
2210160,Ail Firdaus,2022,Sains Data,aktif,Yogyakarta,2022-08-01
2210161,Gab Ramadhan,2022,Sains Data,do,Surabaya,2022-08-01
2210162,Fuk Putra,2022,Sains Data,do,Bandung,2022-08-01
2210163,Rak Wulandari,2022,Sains Data,do,Semarang,2022-08-01
2210164,Juy Wijaya,2022,Sains Data,aktif,Surabaya,2022-08-01
2210165,Dad Saputra,2022,Sains Data,Aktif,Semarang,2022-08-01
2210166,Ceb Lestari,2022,Sains Data,Lulus,Surabaya,2022-08-01
2210167,Det Saputra,2022,Sains Data,AKTIF,Semarang,2022-08-01
2210168,Fun Firdaus,2022,Sains Data,cuti,Bandung,2022-08-01
2210169,Jul Anggraini,2022,Sains Data,Aktif,Jakarta,2022-08-01
2210170,Aok Sari,2022,Sains Data,cuti,Makassar,2022-08-01
2210171,Tis Firdaus,2022,Sains Data,cuti,Bandung,2022-08-01
2210172,God Lestari,2022,Sains Data,do,Jakarta,2022-08-01
2210173,Sat Ramadhan,2022,Sains Data,cuti,Yogyakarta,2022-08-01
2210174,Yes Pratama,2022,Sains Data,cuti,Makassar,2022-08-01
2210175,Iag Rahmawati,2022,Sains Data,Lulus,Kupang,2022-08-01
2210176,Aop Hidayat,2022,Sains Data,aktif,Surabaya,2022-08-01
2210177,Nel Anggraini,2022,Sains Data,Cuti,Bandung,2022-08-01
2210178,Fud Lestari,2022,Sains Data,Cuti,Surabaya,2022-08-01
2210179,Wak Wulandari,2022,Sains Data,aktif,Makassar,2022-08-01
2210180,Reh Maulana,2022,Sains Data,Lulus,Kupang,2022-08-01
2210181,Fog Nugroho,2022,Sains Data,Lulus,Bandung,2022-08-01
2210182,Boh Sari,2022,Sains Data,Aktif,Jakarta,2022-08-01
2210183,Lah Hidayat,2022,Sains Data,lulus,Medan,2022-08-01
2210184,Aeb Pratama,2022,Sains Data,Cuti,Yogyakarta,2022-08-01
2210185,Eos Pratama,2022,Sains Data,lulus,Makassar,2022-08-01
2210186,Suw Ramadhan,2022,Sains Data,Aktif,Kupang,2022-08-01
2210187,Hit Hidayat,2022,Sains Data,aktif,Bandung,2022-08-01
2210188,Kom Anggraini,2022,Sains Data,Cuti,Kupang,2022-08-01
2210189,Cuw Maulana,2022,Sains Data,lulus,Bandung,2022-08-01
2210190,Eay Nugroho,2022,Sains Data,cuti,Medan,2022-08-01
2210191,Fob Nugroho,2022,Sains Data,aktif,Kupang,2022-08-01
2210192,Gos Wulandari,2022,Sains Data,Cuti,Medan,2022-08-01
2210193,Ful Wulandari,2022,Sains Data,Lulus,Surabaya,2022-08-01
2210194,Yak Anggraini,2022,Sains Data,lulus,Surabaya,2022-08-01
2210195,Wod Wijaya,2022,Sains Data,AKTIF,Jakarta,2022-08-01
2210196,Wuh Sari,,Sains Data,cuti,Makassar,2022-08-01
2210197,Mer Wulandari,2022,Sains Data,Cuti,Makassar,2022-08-01
2210198,Eob Firdaus,2022,Sains Data,cuti,Makassar,2022-08-01
2210199,Iay Sari,2022,Sains Data,aktif,Jakarta,2022-08-01
2210200,Ben Putra,2022,Sains Data,Lulus,Bandung,2022-08-01
2210201,Rum Maulana,2022,Sains Data,do,Surabaya,2022-08-01
2210202,Neh Wijaya,2022,Sains Data,lulus,Bandung,2022-08-01
2210203,Aob Kusuma,2022,Sains Data,lulus,Medan,2022-08-01
2210204,Ros Anggraini,2022,Sains Data,aktif,Bandung,2022-08-01
2210205,Nek Maulana,2022,Sains Data,Cuti,Semarang,2022-08-01
2210206,Teh Rahmawati,2022,Sains Data,Lulus,Makassar,2022-08-01
2210207,Hap Maulana,2022,Sains Data,AKTIF,Bandung,2022-08-01
2210208,Dod Wijaya,,Sains Data,AKTIF,Bandung,2022-08-01
2210209,Aom Pratama,2022,Sains Data,Lulus,Medan,2022-08-01
2210210,Koy Saputra,2022,Sains Data,cuti,Bandung,2022-08-01
2210211,Mok Sari,2022,Sains Data,do,Makassar,2022-08-01
2210212,Nil Wulandari,2022,Sains Data,Cuti,Jakarta,2022-08-01
2210213,Net Putra,2022,Sains Data,cuti,Kupang,2022-08-01
2210214,Cem Maulana,2022,Sains Data,AKTIF,Bandung,2022-08-01
2210215,Pah Firdaus,2022,Sains Data,aktif,Kupang,2022-08-01
2210216,Yem Anggraini,2022,Sains Data,do,Bandung,2022-08-01
2210217,Ses Anggraini,2022,Sains Data,lulus,Makassar,2022-08-01
2210218,Wew Pratama,2022,Sains Data,do,Medan,2022-08-01
2210219,Mab Nugroho,2022,Sains Data,Lulus,Jakarta,2022-08-01
2210220,Eor Anggraini,2022,Sains Data,do,Yogyakarta,2022-08-01
2210221,Dur Anggraini,2022,Sains Data,Lulus,Bandung,2022-08-01
2210222,Dub Pratama,2022,Sains Data,aktif,Surabaya,2022-08-01
2210223,Guh Saputra,2022,Sains Data,Aktif,Yogyakarta,2022-08-01
2210224,Hul Sari,2022,Sains Data,Lulus,Medan,2022-08-01
2210225,Mos Hidayat,2022,Sains Data,Cuti,Yogyakarta,2022-08-01
2210226,Iab Firdaus,2022,Sains Data,do,Yogyakarta,2022-08-01
2210227,Ear Putra,2022,Sains Data,aktif,Semarang,2022-08-01
2210228,Lim Rahmawati,2022,Sains Data,Lulus,Makassar,2022-08-01
2210229,Fed Putra,2022,Sains Data,do,Medan,2022-08-01
2210230,Gur Nugroho,2022,Sains Data,cuti,Yogyakarta,2022-08-01
2210231,Ceh Anggraini,2022,Sains Data,aktif,Surabaya,2022-08-01
2210232,Nir Wijaya,2022,Sains Data,do,Yogyakarta,2022-08-01
2210233,Wup Nugroho,2022,Sains Data,AKTIF,Jakarta,2022-08-01
2210234,Miy Saputra,2022,Sains Data,lulus,Kupang,2022-08-01
2210235,Jet Wijaya,2022,Sains Data,Aktif,Kupang,2022-08-01
2210236,Lem Maulana,2022,Sains Data,lulus,Jakarta,2022-08-01
2210237,Tul Hidayat,2022,Sains Data,lulus,Semarang,2022-08-01
2210238,Wem Putra,2022,Sains Data,Aktif,Makassar,2022-08-01
2210239,Lap Pratama,2022,Sains Data,Aktif,Surabaya,2022-08-01
2210240,Kiy Rahmawati,2022,Sains Data,aktif,Semarang,2022-08-01
2210241,Ear Sari,2022,Sains Data,Lulus,,2022-08-01
2210242,Til Wijaya,2022,Sains Data,cuti,Yogyakarta,2022-08-01
2210243,Muh Ramadhan,2022,Sains Data,do,Yogyakarta,2022-08-01
2210244,Top Kusuma,2022,Sains Data,do,Bandung,2022-08-01
2210245,Leg Wijaya,2022,Sains Data,cuti,Semarang,2022-08-01
2210246,Sit Anggraini,2022,Sains Data,Lulus,Jakarta,2022-08-01
2210247,Wum Maulana,2022,Sains Data,aktif,Yogyakarta,2022-08-01
2210248,Jet Putra,2022,Sains Data,Cuti,Medan,2022-08-01
2210249,Pig Wulandari,2022,Sains Data,cuti,Jakarta,2022-08-01
2210250,Pip Putra,2022,Sains Data,lulus,Semarang,2022-08-01
2210251,Eiw Rahmawati,2022,Sains Data,aktif,Semarang,2022-08-01
2210252,Kad Saputra,2022,Sains Data,Lulus,Semarang,2022-08-01
2210253,Cuk Putra,2022,Sains Data,do,Surabaya,2022-08-01
2210254,Kan Sari,2022,Sains Data,Cuti,Bandung,2022-08-01
2210255,Jam Wijaya,,Sains Data,lulus,Semarang,2022-08-01
2210256,Guh Kusuma,2022,Sains Data,AKTIF,Jakarta,2022-08-01
2210257,Hir Hidayat,2022,Sains Data,Aktif,Yogyakarta,2022-08-01
2210258,Tek Putra,2022,Sains Data,Cuti,Kupang,2022-08-01
2210259,Jip Sari,,Sains Data,do,Semarang,2022-08-01
2210260,Reh Wulandari,2022,Sains Data,do,Semarang,2022-08-01
2210261,Yid Kusuma,2022,Sains Data,lulus,,2022-08-01
2210262,Hug Maulana,2022,Sains Data,AKTIF,Bandung,2022-08-01
2210263,Rah Saputra,2022,Sains Data,aktif,Yogyakarta,2022-08-01
2210264,Jas Firdaus,2022,Sains Data,cuti,Kupang,2022-08-01
2210265,Kuw Saputra,2022,Sains Data,do,Semarang,2022-08-01
2210266,Eis Hidayat,2022,Sains Data,lulus,Jakarta,2022-08-01
2210267,Ged Anggraini,2022,Sains Data,AKTIF,Bandung,2022-08-01
2210268,Puy Lestari,2022,Sains Data,AKTIF,Makassar,2022-08-01
2210269,Soy Sari,2022,Sains Data,do,Bandung,2022-08-01
2210270,Pew Pratama,2022,Sains Data,Cuti,Semarang,2022-08-01
2210271,Cep Firdaus,,Sains Data,lulus,Jakarta,2022-08-01
2210272,Yin Pratama,2022,Sains Data,aktif,Surabaya,2022-08-01
2210273,Eim Anggraini,2022,Sains Data,aktif,Medan,2022-08-01
2210274,Dem Rahmawati,2022,Sains Data,do,Jakarta,2022-08-01
2210275,Ceb Putra,2022,Sains Data,do,Kupang,2022-08-01
2210276,Ban Hidayat,2022,Sains Data,AKTIF,Jakarta,2022-08-01
2210277,Sip Pratama,2022,Sains Data,Cuti,Bandung,2022-08-01
2210278,Fug Ramadhan,2022,Sains Data,lulus,Kupang,2022-08-01
2210279,Tur Kusuma,2022,Sains Data,Cuti,Semarang,2022-08-01
2210280,Pas Kusuma,2022,Sains Data,lulus,Semarang,2022-08-01
2210281,Pid Wulandari,2022,Sains Data,AKTIF,,2022-08-01
2210282,Eel Nugroho,2022,Sains Data,Aktif,Semarang,2022-08-01
2210283,Yud Lestari,2022,Sains Data,Aktif,Jakarta,2022-08-01
2210284,Gop Hidayat,2022,Sains Data,aktif,Jakarta,2022-08-01
2210285,Rog Wulandari,2022,Sains Data,Lulus,Makassar,2022-08-01
2210286,Ian Sari,2022,Sains Data,Cuti,Bandung,2022-08-01
2210287,Rur Nugroho,2022,Sains Data,Cuti,Yogyakarta,2022-08-01
2210288,Tom Maulana,2022,Sains Data,lulus,Surabaya,2022-08-01
2210289,Yot Kusuma,2022,Sains Data,Lulus,Semarang,2022-08-01
2210290,Nen Pratama,2022,Sains Data,cuti,Surabaya,2022-08-01
2210291,Tih Kusuma,,Sains Data,Lulus,Medan,2022-08-01
2210292,Wap Sari,2022,Sains Data,lulus,Jakarta,2022-08-01
2210293,Ris Sari,2022,Sains Data,do,Makassar,2022-08-01
2210294,Cod Anggraini,2022,Sains Data,Cuti,Semarang,2022-08-01
2210295,Pop Firdaus,2022,Sains Data,do,Makassar,2022-08-01
2210296,Deh Wulandari,2022,Sains Data,lulus,Surabaya,2022-08-01
2210297,Kok Wulandari,2022,Sains Data,do,Makassar,2022-08-01
2210298,Bed Hidayat,2022,Sains Data,lulus,Kupang,2022-08-01
2210299,Bok Wulandari,2022,Sains Data,aktif,Makassar,2022-08-01
2210300,Lah Maulana,2022,Sains Data,Aktif,Kupang,2022-08-01
2310001,Gol Firdaus,2023,Sains Data,do,Jakarta,2023-08-01
2310002,Juk Hidayat,2023,Sains Data,lulus,Semarang,2023-08-01
2310003,Tun Ramadhan,2023,Sains Data,do,Kupang,2023-08-01
2310004,Tub Saputra,2023,Sains Data,Lulus,Bandung,2023-08-01
2310005,Bog Nugroho,2023,Sains Data,Aktif,Medan,2023-08-01
2310006,Sod Hidayat,2023,Sains Data,lulus,Medan,2023-08-01
2310007,Fom Sari,2023,Sains Data,cuti,Bandung,2023-08-01
2310008,Hol Lestari,2023,Sains Data,Aktif,Makassar,2023-08-01
2310009,Nek Kusuma,2023,Sains Data,AKTIF,Bandung,2023-08-01
2310010,Mug Pratama,2023,Sains Data,Lulus,Bandung,2023-08-01
2310011,Dak Rahmawati,2023,Sains Data,cuti,Surabaya,2023-08-01
2310012,Cut Wijaya,2023,Sains Data,lulus,Yogyakarta,2023-08-01
2310013,Eeb Rahmawati,2023,Sains Data,Cuti,Medan,2023-08-01
2310014,Kep Kusuma,2023,Sains Data,AKTIF,Surabaya,2023-08-01
2310015,Lap Wijaya,2023,Sains Data,AKTIF,Makassar,2023-08-01
2310016,Eoh Kusuma,2023,Sains Data,lulus,Bandung,2023-08-01
2310017,Beg Wijaya,2023,Sains Data,aktif,Yogyakarta,2023-08-01
2310018,Yam Maulana,2023,Sains Data,aktif,Surabaya,2023-08-01
2310019,Jat Putra,2023,Sains Data,Lulus,Surabaya,2023-08-01
2310020,Reg Hidayat,2023,Sains Data,AKTIF,Medan,2023-08-01
2310021,Kok Maulana,2023,Sains Data,aktif,Bandung,2023-08-01
2310022,Bol Hidayat,2023,Sains Data,do,Bandung,2023-08-01
2310023,Far Kusuma,2023,Sains Data,do,Semarang,2023-08-01
2310024,Eah Wijaya,2023,Sains Data,Cuti,Bandung,2023-08-01
2310025,Cob Sari,2023,Sains Data,Aktif,Kupang,2023-08-01
2310026,Neh Maulana,2023,Sains Data,AKTIF,Medan,2023-08-01
2310027,Ais Wijaya,2023,Sains Data,do,Makassar,2023-08-01
2310028,Doy Sari,2023,Sains Data,AKTIF,Kupang,2023-08-01
2310029,Jog Wulandari,2023,Sains Data,cuti,Yogyakarta,2023-08-01
2310030,Eik Hidayat,2023,Sains Data,Lulus,Surabaya,2023-08-01
2310031,Eet Rahmawati,2023,Sains Data,Lulus,Semarang,2023-08-01
2310032,Doy Hidayat,2023,Sains Data,lulus,Yogyakarta,2023-08-01
2310033,Fuy Pratama,2023,Sains Data,cuti,Medan,2023-08-01
2310034,Sur Anggraini,2023,Sains Data,do,Medan,2023-08-01
2310035,Auh Rahmawati,2023,Sains Data,lulus,Jakarta,2023-08-01
2310036,Get Wulandari,2023,Sains Data,Aktif,Kupang,2023-08-01
2310037,Aey Anggraini,2023,Sains Data,AKTIF,Medan,2023-08-01
2310038,Fed Putra,2023,Sains Data,do,Makassar,2023-08-01
2310039,Bow Pratama,2023,Sains Data,Cuti,Makassar,2023-08-01
2310040,Rep Wijaya,2023,Sains Data,Aktif,Makassar,2023-08-01
2310041,Hoh Maulana,2023,Sains Data,Lulus,Yogyakarta,2023-08-01
2310042,Kut Anggraini,2023,Sains Data,AKTIF,Jakarta,2023-08-01
2310043,Rip Hidayat,2023,Sains Data,Cuti,Semarang,2023-08-01
2310044,Lat Nugroho,2023,Sains Data,lulus,Medan,2023-08-01
2310045,Ras Ramadhan,2023,Sains Data,aktif,Makassar,2023-08-01
2310046,Dar Maulana,2023,Sains Data,Cuti,Makassar,2023-08-01
2310047,Mel Hidayat,2023,Sains Data,Aktif,Kupang,2023-08-01
2310048,Mep Ramadhan,2023,Sains Data,Lulus,Jakarta,2023-08-01
2310049,Eag Kusuma,2023,Sains Data,AKTIF,Surabaya,2023-08-01
2310050,Lot Hidayat,2023,Sains Data,Lulus,Makassar,2023-08-01
2310051,Nad Kusuma,2023,Sains Data,do,Semarang,2023-08-01
2310052,Woh Saputra,2023,Sains Data,Lulus,Yogyakarta,2023-08-01
2310053,Dok Ramadhan,,Sains Data,Aktif,Makassar,2023-08-01
2310054,Hib Kusuma,2023,Sains Data,Cuti,Surabaya,2023-08-01
2310055,Few Anggraini,2023,Sains Data,cuti,Jakarta,2023-08-01
2310056,Per Firdaus,2023,Sains Data,Cuti,Jakarta,2023-08-01
2310057,Ser Firdaus,2023,Sains Data,aktif,Kupang,2023-08-01
2310058,Yis Maulana,2023,Sains Data,lulus,Surabaya,2023-08-01
2310059,Loh Anggraini,2023,Sains Data,cuti,Jakarta,2023-08-01
2310060,Yid Pratama,2023,Sains Data,Cuti,Jakarta,2023-08-01
2310061,Tib Sari,2023,Sains Data,do,Semarang,2023-08-01
2310062,Net Pratama,2023,Sains Data,AKTIF,Surabaya,2023-08-01
2310063,Aat Firdaus,2023,Sains Data,AKTIF,Jakarta,2023-08-01
2310064,Kom Nugroho,2023,Sains Data,AKTIF,Yogyakarta,2023-08-01
